Hviezdičky,Miesto,Adresa,Text,Datum
5,DinoPark Liberec,"Palachova 1404, 460 90 Liberec","Stále atraktivní místo pro rodiče s dětmi. Vstupné mě trochu překvapilo, ale neteř max spokojená. Kvituji obměnu filmu v 4D kině.... Automat na popcorn super zábava pro dítě. Selfie foto budka taky super věc. Parkovné zdarma.",2025-05-09
5,Doučovaní Doma Liberec,"Krátká 388/2, 460 07 Liberec-Jeřáb","Velmi příjemné prostředí a podmínky pro výuku.  Dobrá komunikace,  dobrý on line systém. Flexibilní a vhodní lidé,  studenti, konkrétně student Richter. Paní majitelka vstřícná. Dítě spokojené a látka vysvětlena.",2025-05-15
5,Liberecká výšina - rozhledna s hotelem a restaurací,"Wolkerova 251, 460 15 Liberec-Starý Harcov",Navštívena pouze restaurace a sál. Ranní catering na jedničku. Cesta na výšinu označena cedulemi. Parkovací místa ok.,2025-05-15
5,Wroclavia,"Sucha 1, 50-086 Wrocław, Polsko","Moderní obchodní centrum včetně Parkování.  Pohoda na pasáži, sezení. Navigační systém ve městě k Wroclawii  vpohodě.",2025-05-15
5,Stadion Tarczyński Arena,"al. Śląska 1, 54-118 Wrocław, Polsko","Dojezd ke stadionu na jedničku. Velká parkovací plocha - placená. Hala víceúčelová.  Pořádání trhů, festivalů, výstav. Klima dobré. Pořadatelské podmínky také.",2025-05-15
4,Zámek Liberec,"Felberova 1, 460 05 Liberec-Kristiánov","Zámek celoročně uzavřen. V letní sezóně možnost navštívit v rámci komentovaných prohlídek. Nutno předem objednat. Určitě stojí za to nahlédnout do minulosti. Parkovat v okolí zámku nelze, lze využít parking Plaza.",2025-05-15
5,Kościół Garnizonowy Bazylika Mniejsza pw. Św. Elżbiety we Wrocławiu,"Świętej Elżbiety 1/2, 50-111 Wrocław, Polsko","Noční prohlídka Wrocławi má svůj náboj. Tento kostel na okraji Starého náměstí je krásně nasvícen, ale především zaujme svými vitrážemi. Uvnitř jsme nebyly, ale pohledy, klid a noční atmosféra postačily...",2025-05-15
5,Sklárna Jílek s.r.o.,"Nová huť 687, 471 14 Kamenický Šenov","Sklárna Jílek nabízí zajímavé věci. Otvírá provoz i běžným návštěvníkům, třeba v rámci Víkendů v Křišťálovém údolí nebo v rámci eventu Lustrfest. Zaparkovat lze v areálu. Nakoupit sklo si zde také můžete.",2025-05-15
5,Botanická zahrada Vratislavské univerzity,"Henryka Sienkiewicza 23, 50-335 Wrocław, Polsko","Návštěva Botanické zahrady byl krásný zážitek, i když březnový termín nenabídl rozkvetlé zahrady. Ale i tak místo vybídlo k procházce,  k nevšedním pohledům na katedrálu. Zajímavá zákoutí, posezení. Bylo vidět, že na hlavní sezónu jsou připraveni.... A expozice a akvária také pěkná. Staré skleníky nás trochu překvapili. Jste stále v kontaktu s rostlinami. Jediné co mě nemile překvapilo, byl způsob prodeje vstupenek na chodbě.  Zahradu hodnotím velice kladně a určitě znovu navštívíme.",2025-05-15
5,Karlův most,"Karlův most, 110 00 Praha 1","Historicky významné místo. V současnosti turisticky atraktivní místo. Krásné výhledy, krásná procházka, jen někdy je potřeba mít pevné nervy a dostat se z jedné strany na druhou.... Ale je potřeba se po něm projít.",2025-03-16
5,Prezidentská chata,"Janov nad Nisou 524, 468 11 Janov nad Nisou","Krásné místo, skvělá kuchyň, sympatická obsluha, hezká práce/prezentace/ pozvánka na soc. sítích. Psi a běžkaři vítáni. A z Bedřichova od Stadionu krásná procházka cca 30 minut. Možnost vyjet i autem a zaparkovat před Prezidentskou. V týdnu se posadíte bez problémů, ale o víkendu je zde opravdu narváno.",2025-02-14
5,Bistro KAFE KYTKA,"Na Sboře 2271, 511 01 Turnov 1","Hezké, tiché prostředí. Moderní pojetí. Káva výborná a dortík také. Rádi se sem vracíme jak létem, tak i v zimě.",2025-02-14
3,McDonald's,"Plynární 167, 170 00 Praha 7-Holešovice",Opravdu rychlý oběd. Restaurace plná a tím pádem více hlučná.,2025-02-14
5,Fresh Cantine,"Zámečnická 561/4, 460 01 Liberec","Pohodová freš kantýna na rychlý oběd, ale i poklábos s kámoškou nad dobrým jídlem. Za mě spokojenost a důvod se sem vrátit.",2025-02-14
5,Gate of the Old Town Hall,"Radnická 369, 602 00 Brno-město","Stará radnice, kolo, drak, Freskový sál, Vyhlídková věž, Klenotnice, Ķřišťálový sál,  schody, vyhlídka, Brno, a dole MIC..... a pak Zelňák, Advent, Stromek, Vánoce.... Tak to vše na jednom místě. Super zážitek. A všechno teď a bez turistů. Nejvíc mě jimala a bavila samota ve Freskovém sále.  Vstupné rozumné a slečna pohovořila i o historii.",2024-12-16
5,"Rautis, a.s.","Poniklá 151, 512 42 Poniklá","Rautis - tradiční výrobce perličkových ozdob. Návštěva v jejich provozu, byla jako pohádka. Bylo potřeba se dopředu objednat, pak zaparkovat, platba vstupenky a už jen hltání informací, krásného videa o legendě,  vnímání tradice, vyroby perličkových ozdob. Z jedné budovy musíte přejít do druhé,  kde příběh pokračuje. Pak se vracíte do prodejny a máte možnost si vánoční ozdubu vyrobit. A samozřejmě si zde můžete nakoupit tradiční perličkové ozdoby, nebo ozdoby z Nové Kolekce Random.  Které uchvátily i mne a nákup byl milou povinností. Jen jedna připomínka-prosím očistěte si vstupní schody. To je taková malá kaňka na krásné pohádce.",2024-12-16
5,Socha samuraje a husy,"Petrská 275/1, 602 00 Brno-střed","Jdeš, jdeš na Zelňák. Otočíš se a vidíš tohle zajímavé zákoutí. A Samuraj s husou-překvapili.",2024-12-16
5,Opevnění,"Petrov 621/3, 602 00 Brno-město",Krásné místo na procházku. Zajímavé výhledy všemi směry.  Hezká zákoutí Brna.,2024-12-16
